DATAFLOW,freq,unit,sex,indic_he,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00208(1.0),A,YR,F,LE_0,HU,2014,79.4,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,HU,2015,79.0,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,HU,2016,79.7,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,HU,2017,79.3,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,HU,2018,79.6,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,IE,2010,83.1,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,IE,2011,83.0,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,IE,2012,83.1,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,IE,2013,83.1,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,IE,2014,83.5,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,IE,2015,83.4,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,IE,2016,83.6,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,IE,2017,84.0,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,IE,2018,84.1,p
ESTAT:TPS00208(1.0),A,YR,F,LE_0,IS,2010,84.1,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,IS,2011,84.1,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,IS,2012,84.3,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,IS,2013,83.7,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,IS,2014,84.5,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,IS,2015,83.8,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,IS,2016,84.1,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,IS,2017,84.3,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,IS,2018,84.5,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,IT,2011,84.8,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,IT,2012,84.8,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,IT,2013,85.2,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,IT,2014,85.6,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,IT,2015,84.9,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,IT,2016,85.6,b
ESTAT:TPS00208(1.0),A,YR,F,LE_0,IT,2017,85.2,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,IT,2018,85.6,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,LT,2010,78.9,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,LT,2011,79.3,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,LT,2012,79.6,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,LT,2013,79.6,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,LT,2014,80.1,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,LT,2015,79.7,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,LT,2016,80.1,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,LT,2017,80.5,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,LT,2018,80.7,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,LU,2010,83.5,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,LU,2011,83.6,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,LU,2012,83.8,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,LU,2013,83.9,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,LU,2014,85.2,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,LU,2015,84.7,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,LU,2016,85.4,b
ESTAT:TPS00208(1.0),A,YR,F,LE_0,LU,2017,84.4,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,LU,2018,84.6,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,LV,2010,78.0,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,LV,2011,78.8,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,LV,2012,78.9,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,LV,2013,78.9,b
ESTAT:TPS00208(1.0),A,YR,F,LE_0,LV,2014,79.4,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,LV,2015,79.5,
